Taxon,Mean_body_size_mm,Body_mass_ug
Alona_spp.,415.587,2.932265999
Alonella_excisa,424.9091,2.23367507
Ascomorpha_spp.,163.9649,0.1
Asplanchna_spp.,440.75,0.1
Bosmina_longirostris,355.6375,3.509064724
Ceriodaphnia_laticaudata,524.1731,2.845033782
Chaoborus_trivitattus,5638.8655,3.248620775
Chydorus_sphaericus,375.9185,3.324763804
Collotheca_spp.,1403,0.1
Conochilus_unicornis,124.0568,0.05
Cyclopoida,588.8475,2.986357168
Daphnia_dentifera,808.2124,3.015910302
Daphnia_melanica,1374.5977,3.086948514
Daphnia_pulex_pulicaria,1056.1044,3.038914893
Diaphanosoma_brachyurum,575.0119,3.04379635
Eurycercus_lamellatus,476,2.928170241
Harpacticoida,354.3557,3.344832488
Hesperodiaptomus_eiseni,2301.9801,3.021639677
Hesperodiaptomus_shoshone,1929.0397,3.000764662
Holopedium_gibberum,847.9084,3.131792972
Kellicottia_spp.,175.6755,0.05
Keratella_quadrata,126.0609,12.1745185
Keratella_spp.,125.383,12.15722686
Lepadella_spp.,173.0395,0.1
Leptodiaptomus_signicauda,828.2549,2.8943998
nauplii,213.3819,1.321567695
Notholca_spp.,121.0909,0.1
Polyarthra_dolichoptera,102.3152,0.1
Polyarthra_vulgaris,140,0.1
Polyphemus_pediculus,562.5349,2.797686084
Scapholeberis_mucronata,605.25,2.974996775
Synchaeta_spp.,148.9412,0.1
Trichocerca_capucina,263.78,0.1
Trichotria_spp.,212.4444,0.1