Species_Name,Mean_body_size_mm,Body_mass_ug
Alona_spp.,415.587,12.8232619
Alonella_excisa,424.9091,4.575331485
Ascomorpha_spp.,163.9649,0.551014057
Asplanchna_spp.,440.75,3.98
Bosmina_longirostris,355.6375,17.3042356
Ceriodaphnia_laticaudata,524.1731,7.408338954
Chaoborus_trivitattus,5638.8655,9.950229669
Chydorus_sphaericus,375.9185,14.61011824
Collotheca_spp.,1403,0.480531942
Conochilus_unicornis,124.0568,0.21001698
Cyclopoida,588.8475,9.347893225
Daphnia_dentifera,808.2124,9.696297191
Daphnia_melanica,1374.5977,10.34903698
Daphnia_pulex_pulicaria,1056.1044,10.19632746
Diaphanosoma_brachyurum,575.0119,10.03238337
Eurycercus_lamellatus,476,9.555330216
Harpacticoida,354.3557,13.74403346
Hesperodiaptomus_eiseni,2301.9801,10.46468165
Hesperodiaptomus_shoshone,1929.0397,10.28053346
Holopedium_gibberum,847.9084,11.39543311
Kellicottia_spp.,175.6755,0.357830644
Keratella_quadrata,126.0609,0.400655589
Keratella_spp.,125.383,0.394226638
Lepadella_spp.,173.0395,0.103625288
Leptodiaptomus_signicauda,828.2549,9.399675469
nauplii,213.3819,2.022990662
Notholca_spp.,121.0909,0.145595641
Polyarthra_dolichoptera,102.3152,0.299901407
Polyarthra_vulgaris,140,0.76832
Polyphemus_pediculus,562.5349,8.697521663
Scapholeberis_mucronata,605.25,11.43687724
Synchaeta_spp.,148.9412,3.304034289
Trichocerca_capucina,263.78,10.6112315
Trichotria_spp.,212.4444,0.421879613